n_alert_workers,n_enrichment_workers,n_filter_workers,wall_time_s,alerts_per_second,aps_per_alert_worker,aps_per_enrichment_worker,aps_per_filter_worker,filter_batch_mean,filter_batch_p50,filter_full_frac,filter_small_frac_lt500,enrich_enqueue_mean,enrich_enqueue_p50,alert_rate_mean,alert_active_s,enrich_active_s,filter_active_s,tail_idle_s
5,11,2,55.281681,527.1547368467322,105.43094736934646,47.92315789515748,263.5773684233661,710.780487804878,1000.0,0.6341463414634146,0.3170731707317073,290.6923076923077,137.5,,27.029588,42.770818,52.440208,7.561019
5,11,3,55.173747,528.1859867157473,105.63719734314945,48.01690788324975,176.06199557191576,571.4117647058823,592.0,0.3137254901960784,0.43137254901960786,243.80645161290323,106.0,,35.966979,46.295607,48.840657,11.161811
5,13,4,38.985299,747.512543125551,149.5025086251102,57.50096485581162,186.87813578138775,428.55882352941177,363.5,0.10294117647058823,0.5882352941176471,146.28387096774193,73.0,,29.633286,41.198935,43.658016,0.0
5,14,4,32.936164999999995,884.8024656179614,176.96049312359227,63.200176115568674,221.20061640449035,455.34375,394.0,0.21875,0.609375,131.82558139534885,95.5,,29.866309,36.243578,37.615169,0.0
5,15,4,32.341021,901.0847245669827,180.21694491339653,60.07231497113218,225.27118114174567,549.8490566037735,431.0,0.37735849056603776,0.5094339622641509,81.85559566787003,58.0,,30.447068,34.299785,37.024524,0.0
5,16,4,31.334398999999998,930.0321987985154,186.00643975970308,58.127012424907214,232.50804969962886,633.5217391304348,854.0,0.5,0.391304347826087,43.77220077220077,30.0,,29.912285,34.529352,36.000251,0.0
6,3,1,115.284398,252.78355532550034,42.13059255425006,84.26118510850011,252.78355532550034,910.6875,1000.0,0.875,0.09375,666.8823529411765,752.0,,26.780651,114.540063,116.106435,3.895246
6,3,3,115.147024,253.08513401093197,42.18085566848866,84.36171133697732,84.36171133697732,857.1176470588235,1000.0,0.8235294117647058,0.17647058823529413,647.8285714285714,748.0,,24.016782,113.977025,115.205261,4.797716
6,6,1,85.327905,341.529538314576,56.921589719096,56.921589719096,341.529538314576,809.5,1000.0,0.7222222222222222,0.19444444444444445,596.6842105263158,730.0,,26.094828,64.119165,90.055309,0.0
6,6,3,61.485808,473.96303224965345,78.99383870827558,78.99383870827558,157.98767741655115,766.8947368421053,1000.0,0.6842105263157895,0.2631578947368421,539.8571428571429,731.5,,27.290514,65.127937,66.322706,0.0
6,8,4,55.179975,528.1263719311218,88.02106198852029,66.01579649139022,132.03159298278044,693.8571428571429,1000.0,0.5714285714285714,0.35714285714285715,482.4255319148936,684.0,,27.033471,50.784124,52.879716,7.126264
6,9,1,75.180187,387.6287245734039,64.60478742890065,43.06985828593376,387.6287245734039,747.2307692307693,1000.0,0.6410256410256411,0.28205128205128205,390.9310344827586,245.5,,24.759424,48.300234,80.04626,0.0
